Week,Week Start,Week End,Zone Index,Zone Label,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-W22,2026-05-25,2026-05-31,0,East landscaping,0.7,0.3,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,1,West landscaping,120.0,24.0,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,2,Farm: greenhouse,210.0,84.0,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,105.0,26.2,0.07,79.3,32.5,43.0
2026-W23,2026-06-01,2026-06-07,0,East landscaping,0.0,0.0,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,1,West landscaping,180.0,36.0,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,2,Farm: greenhouse,370.0,148.0,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,130.0,32.5,0.0,86.1,42.8,25.5
2026-W24,2026-06-08,2026-06-14,0,East landscaping,0.0,0.0,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,1,West landscaping,180.0,36.0,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,2,Farm: greenhouse,420.0,168.0,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,140.0,35.0,0.4,88.4,43.8,35.1
2026-W25,2026-06-15,2026-06-21,0,East landscaping,0.0,0.0,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,1,West landscaping,180.0,36.0,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,2,Farm: greenhouse,420.0,168.0,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,140.0,35.0,0.0,88.9,43.0,32.6
2026-W26,2026-06-22,2026-06-28,0,East landscaping,0.0,0.0,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,1,West landscaping,180.0,36.0,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,2,Farm: greenhouse,420.0,168.0,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,140.0,35.0,0.02,89.8,46.2,32.5
2026-W27,2026-06-29,2026-07-05,0,East landscaping,0.0,0.0,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,1,West landscaping,180.0,36.0,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,2,Farm: greenhouse,420.0,168.0,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,140.0,35.0,0.01,88.6,39.2,25.0
2026-W28,2026-07-06,2026-07-12,0,East landscaping,0.0,0.0,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,1,West landscaping,180.0,36.0,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,2,Farm: greenhouse,420.0,168.0,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,140.0,35.0,0.02,94.6,56.3,34.2
2026-W29,2026-07-13,2026-07-19,0,East landscaping,0.0,0.0,0.0,88.8,63.3,47.7
2026-W29,2026-07-13,2026-07-19,1,West landscaping,0.0,0.0,0.0,88.8,63.3,47.7
2026-W29,2026-07-13,2026-07-19,2,Farm: greenhouse,60.0,24.0,0.0,88.8,63.3,47.7
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,20.0,5.0,0.0,88.8,63.3,47.7
